,input,sensor_type,image_size,resolution_(DPI),nfiq1_quality,nfiq2_quality,minutiae_sourceafis,minutiae_mindtct_m1=0,minutiae_mindtct_m1=1,minutiae_fingerjet
0,_home_Analise_digitais_2004_DB3_23_23_7,thermal sweeping sensor Atmel,300x480,512,2,42,39,61,61,40
1,_home_Analise_digitais_2004_DB2_62_62_5,optical sensor Digital Persona,328x364,500,2,46,29,50,50,43
2,_home_Analise_digitais_2004_DB4_65_65_8,synthetic fingerprint generation,288x384,500,2,24,39,45,45,64
3,_home_Analise_digitais_2004_DB4_14_14_7,synthetic fingerprint generation,288x384,500,2,25,32,61,61,64
4,_home_Analise_digitais_2004_DB2_39_39_8,optical sensor Digital Persona,328x364,500,2,28,29,32,32,31
5,_home_Analise_digitais_2004_DB3_42_42_6,thermal sweeping sensor Atmel,300x480,512,3,25,40,99,99,82
6,_home_Analise_digitais_2004_DB2_78_78_7,optical sensor Digital Persona,328x364,500,3,18,25,48,48,59
7,_home_Analise_digitais_2004_DB2_63_63_6,optical sensor Digital Persona,328x364,500,2,27,38,67,67,62
8,_home_Analise_digitais_2004_DB4_88_88_4,synthetic fingerprint generation,288x384,500,3,12,38,53,53,61
9,_home_Analise_digitais_2004_DB2_82_82_4,optical sensor Digital Persona,328x364,500,3,17,38,54,54,50
10,_home_Analise_digitais_2004_DB1_83_83_3,optical sensor CrossMatch,640x480,500,2,41,63,75,75,102
11,_home_Analise_digitais_2004_DB2_26_26_1,optical sensor Digital Persona,328x364,500,1,55,38,62,62,58
12,_home_Analise_digitais_2004_DB3_93_93_5,thermal sweeping sensor Atmel,300x480,512,1,52,56,86,86,91
13,_home_Analise_digitais_2004_DB1_83_83_4,optical sensor CrossMatch,640x480,500,2,57,37,54,54,41
14,_home_Analise_digitais_2004_DB3_57_57_4,thermal sweeping sensor Atmel,300x480,512,4,25,90,128,128,190
15,_home_Analise_digitais_2004_DB1_76_76_3,optical sensor CrossMatch,640x480,500,1,46,39,73,73,62
16,_home_Analise_digitais_2004_DB3_23_23_8,thermal sweeping sensor Atmel,300x480,512,1,46,45,63,63,54
17,_home_Analise_digitais_2004_DB3_90_90_4,thermal sweeping sensor Atmel,300x480,512,2,39,62,88,88,109
18,_home_Analise_digitais_2004_DB2_98_98_6,optical sensor Digital Persona,328x364,500,1,56,41,69,69,62
19,_home_Analise_digitais_2004_DB2_7_7_1,optical sensor Digital Persona,328x364,500,2,35,26,45,45,44
20,_home_Analise_digitais_2004_DB2_19_19_8,optical sensor Digital Persona,328x364,500,3,24,49,61,61,83
21,_home_Analise_digitais_2004_DB2_50_50_6,optical sensor Digital Persona,328x364,500,2,40,30,44,44,34
22,_home_Analise_digitais_2004_DB2_34_34_6,optical sensor Digital Persona,328x364,500,3,14,22,56,56,50
23,_home_Analise_digitais_2004_DB1_55_55_1,optical sensor CrossMatch,640x480,500,1,37,39,57,57,50
24,_home_Analise_digitais_2004_DB4_83_83_4,synthetic fingerprint generation,288x384,500,1,35,37,70,70,70
25,_home_Analise_digitais_2004_DB2_34_34_5,optical sensor Digital Persona,328x364,500,2,28,44,73,73,76
26,_home_Analise_digitais_2004_DB3_38_38_8,thermal sweeping sensor Atmel,300x480,512,2,46,45,60,60,53
27,_home_Analise_digitais_2004_DB2_41_41_6,optical sensor Digital Persona,328x364,500,2,15,28,43,43,27
28,_home_Analise_digitais_2004_DB3_24_24_2,thermal sweeping sensor Atmel,300x480,512,2,47,30,81,81,45
29,_home_Analise_digitais_2004_DB3_17_17_5,thermal sweeping sensor Atmel,300x480,512,1,44,58,98,98,130
30,_home_Analise_digitais_2004_DB2_89_89_3,optical sensor Digital Persona,328x364,500,2,42,34,58,58,46
31,_home_Analise_digitais_2004_DB2_99_99_6,optical sensor Digital Persona,328x364,500,5,0,93,114,114,218
32,_home_Analise_digitais_2004_DB1_1_1_3,optical sensor CrossMatch,640x480,500,1,47,56,78,78,85
33,_home_Analise_digitais_2004_DB4_41_41_6,synthetic fingerprint generation,288x384,500,3,21,6,16,16,42
34,_home_Analise_digitais_2004_DB1_103_103_2,optical sensor CrossMatch,640x480,500,2,23,13,28,28,18
35,_home_Analise_digitais_2004_DB2_104_104_7,optical sensor Digital Persona,328x364,500,2,40,31,50,50,55
36,_home_Analise_digitais_2004_DB1_23_23_6,optical sensor CrossMatch,640x480,500,1,34,29,54,54,52
37,_home_Analise_digitais_2004_DB1_88_88_8,optical sensor CrossMatch,640x480,500,4,100,110,166,166,0
38,_home_Analise_digitais_2004_DB3_82_82_7,thermal sweeping sensor Atmel,300x480,512,1,53,46,95,95,99
39,_home_Analise_digitais_2004_DB4_89_89_3,synthetic fingerprint generation,288x384,500,1,21,31,76,76,63
40,_home_Analise_digitais_2004_DB3_91_91_5,thermal sweeping sensor Atmel,300x480,512,1,28,70,120,120,123
41,_home_Analise_digitais_2004_DB1_68_68_4,optical sensor CrossMatch,640x480,500,2,43,24,50,50,34
42,_home_Analise_digitais_2004_DB1_19_19_1,optical sensor CrossMatch,640x480,500,2,21,27,38,38,43
43,_home_Analise_digitais_2004_DB3_23_23_4,thermal sweeping sensor Atmel,300x480,512,1,48,33,80,80,36
44,_home_Analise_digitais_2004_DB4_30_30_8,synthetic fingerprint generation,288x384,500,1,41,31,40,40,37
45,_home_Analise_digitais_2004_DB4_57_57_2,synthetic fingerprint generation,288x384,500,1,38,40,48,48,58
46,_home_Analise_digitais_2004_DB1_76_76_5,optical sensor CrossMatch,640x480,500,1,52,46,73,73,54
47,_home_Analise_digitais_2004_DB2_64_64_1,optical sensor Digital Persona,328x364,500,3,15,37,56,56,78
48,_home_Analise_digitais_2004_DB3_53_53_4,thermal sweeping sensor Atmel,300x480,512,2,56,29,48,48,40
49,_home_Analise_digitais_2004_DB4_30_30_7,synthetic fingerprint generation,288x384,500,1,37,44,69,69,70
50,_home_Analise_digitais_2004_DB1_71_71_5,optical sensor CrossMatch,640x480,500,1,49,41,73,73,60
51,_home_Analise_digitais_2004_DB3_48_48_4,thermal sweeping sensor Atmel,300x480,512,3,35,43,91,91,43
52,_home_Analise_digitais_2004_DB1_92_92_7,optical sensor CrossMatch,640x480,500,2,50,27,46,46,38
53,_home_Analise_digitais_2004_DB4_9_9_3,synthetic fingerprint generation,288x384,500,3,18,21,37,37,33
54,_home_Analise_digitais_2004_DB4_58_58_3,synthetic fingerprint generation,288x384,500,1,38,49,58,58,71
55,_home_Analise_digitais_2004_DB4_47_47_1,synthetic fingerprint generation,288x384,500,2,28,17,42,42,51
56,_home_Analise_digitais_2004_DB2_26_26_8,optical sensor Digital Persona,328x364,500,3,21,40,87,87,117
57,_home_Analise_digitais_2004_DB1_23_23_2,optical sensor CrossMatch,640x480,500,1,5,22,41,41,42
58,_home_Analise_digitais_2004_DB3_8_8_3,thermal sweeping sensor Atmel,300x480,512,1,42,33,101,101,87
59,_home_Analise_digitais_2004_DB1_81_81_3,optical sensor CrossMatch,640x480,500,2,49,35,48,48,52
60,_home_Analise_digitais_2004_DB3_82_82_5,thermal sweeping sensor Atmel,300x480,512,2,46,34,66,66,50
61,_home_Analise_digitais_2004_DB3_63_63_1,thermal sweeping sensor Atmel,300x480,512,2,45,35,90,90,80
62,_home_Analise_digitais_2004_DB3_40_40_1,thermal sweeping sensor Atmel,300x480,512,1,58,38,82,82,79
63,_home_Analise_digitais_2004_DB2_6_6_4,optical sensor Digital Persona,328x364,500,2,49,28,51,51,38
64,_home_Analise_digitais_2004_DB2_53_53_3,optical sensor Digital Persona,328x364,500,2,51,34,60,60,40
65,_home_Analise_digitais_2004_DB2_72_72_5,optical sensor Digital Persona,328x364,500,1,47,38,60,60,64
66,_home_Analise_digitais_2004_DB4_94_94_2,synthetic fingerprint generation,288x384,500,2,31,24,39,39,40
67,_home_Analise_digitais_2004_DB1_81_81_8,optical sensor CrossMatch,640x480,500,3,29,64,78,78,88
68,_home_Analise_digitais_2004_DB2_40_40_8,optical sensor Digital Persona,328x364,500,1,36,30,55,55,48
69,_home_Analise_digitais_2004_DB1_109_109_8,optical sensor CrossMatch,640x480,500,2,35,41,58,58,72
70,_home_Analise_digitais_2004_DB3_33_33_7,thermal sweeping sensor Atmel,300x480,512,3,17,101,125,125,202
71,_home_Analise_digitais_2004_DB3_108_108_3,thermal sweeping sensor Atmel,300x480,512,2,47,57,91,91,103
72,_home_Analise_digitais_2004_DB4_52_52_4,synthetic fingerprint generation,288x384,500,2,39,36,44,44,56
73,_home_Analise_digitais_2004_DB1_15_15_8,optical sensor CrossMatch,640x480,500,1,59,43,81,81,62
74,_home_Analise_digitais_2004_DB3_17_17_3,thermal sweeping sensor Atmel,300x480,512,1,46,71,106,106,166
75,_home_Analise_digitais_2004_DB1_19_19_2,optical sensor CrossMatch,640x480,500,1,35,29,40,40,41
76,_home_Analise_digitais_2004_DB1_11_11_4,optical sensor CrossMatch,640x480,500,1,52,33,62,62,47
77,_home_Analise_digitais_2004_DB4_14_14_1,synthetic fingerprint generation,288x384,500,3,9,42,69,69,129
78,_home_Analise_digitais_2004_DB2_41_41_5,optical sensor Digital Persona,328x364,500,2,29,38,58,58,68
79,_home_Analise_digitais_2004_DB1_51_51_7,optical sensor CrossMatch,640x480,500,1,51,38,53,53,62
80,_home_Analise_digitais_2004_DB2_94_94_3,optical sensor Digital Persona,328x364,500,2,46,37,56,56,56
81,_home_Analise_digitais_2004_DB4_5_5_7,synthetic fingerprint generation,288x384,500,3,6,63,88,88,140
82,_home_Analise_digitais_2004_DB4_28_28_6,synthetic fingerprint generation,288x384,500,1,44,42,60,60,64
83,_home_Analise_digitais_2004_DB3_59_59_2,thermal sweeping sensor Atmel,300x480,512,1,56,84,98,98,114
84,_home_Analise_digitais_2004_DB4_66_66_5,synthetic fingerprint generation,288x384,500,1,44,45,62,62,67
85,_home_Analise_digitais_2004_DB2_71_71_3,optical sensor Digital Persona,328x364,500,2,42,27,55,55,47
86,_home_Analise_digitais_2004_DB2_93_93_2,optical sensor Digital Persona,328x364,500,3,3,16,24,24,8
87,_home_Analise_digitais_2004_DB1_78_78_2,optical sensor CrossMatch,640x480,500,3,4,22,71,71,53
