input1,input2,match_bozorth_mindtct_m1=1,match_mcc_mindtct_m1=1,match_bozorth_mindtct_m1=0,match_mcc_mindtct_m1=0,match_sourceafis
_home_Analise_digitais_2004_DB1_1_1_3,_home_Analise_digitais_2004_DB4_5_5_7,10.0,0.0180749,7.0,0.0157907,1.25369907869908
_home_Analise_digitais_2004_DB1_1_1_3,_home_Analise_digitais_2004_DB2_4_4_3,8.0,0.0147936,7.0,0.0161321,8.97957815012271
_home_Analise_digitais_2004_DB1_1_1_3,_home_Analise_digitais_2004_DB4_3_3_4,10.0,0.0169989,8.0,0.0142985,1.24140859140859
_home_Analise_digitais_2004_DB1_1_1_3,_home_Analise_digitais_2004_DB4_3_3_7,8.0,0.0163007,7.0,0.0157833,3.12455171630524
_home_Analise_digitais_2004_DB1_1_1_3,_home_Analise_digitais_2004_DB4_1_1_6,4.0,0.0168281,6.0,0.0162333,0.55007561882562
_home_Analise_digitais_2004_DB1_1_1_3,_home_Analise_digitais_2004_DB4_2_2_5,6.0,0.0151865,4.0,0.0156871,0.8129959757984
_home_Analise_digitais_2004_DB1_1_1_3,_home_Analise_digitais_2004_DB4_4_4_7,8.0,0.0169207,6.0,0.0161931,2.25854279648922
_home_Analise_digitais_2004_DB1_1_1_3,_home_Analise_digitais_2004_DB3_5_5_1,13.0,0.0169556,8.0,0.0175303,1.41035290467109
_home_Analise_digitais_2004_DB1_1_1_3,_home_Analise_digitais_2004_DB1_1_1_4,18.0,0.0229172,12.0,0.020903,24.97447536476314
_home_Analise_digitais_2004_DB1_1_1_3,_home_Analise_digitais_2004_DB4_1_1_8,5.0,0.016384,5.0,0.0172577,1.49216153165017
_home_Analise_digitais_2004_DB1_1_1_3,_home_Analise_digitais_2004_DB1_1_1_8,26.0,0.0190629,20.0,0.0175173,51.49508733598868
_home_Analise_digitais_2004_DB1_1_1_3,_home_Analise_digitais_2004_DB3_4_4_5,7.0,0.0170354,7.0,0.0157618,1.0708120004995
_home_Analise_digitais_2004_DB1_1_1_3,_home_Analise_digitais_2004_DB4_4_4_3,12.0,0.0144994,7.0,0.0166523,4.94419903528815
_home_Analise_digitais_2004_DB1_1_1_3,_home_Analise_digitais_2004_DB4_5_5_3,5.0,0.0159523,7.0,0.0176272,1.81647623210123
_home_Analise_digitais_2004_DB1_1_1_3,_home_Analise_digitais_2004_DB1_5_5_5,4.0,0.0133367,3.0,0.015299,3.33915901711629
_home_Analise_digitais_2004_DB1_1_1_3,_home_Analise_digitais_2004_DB3_4_4_7,11.0,0.016577,4.0,0.0149456,2.58948138010638
_home_Analise_digitais_2004_DB1_1_1_3,_home_Analise_digitais_2004_DB3_2_2_4,13.0,0.0179057,3.0,0.0154328,2.02371139889522
_home_Analise_digitais_2004_DB1_1_1_3,_home_Analise_digitais_2004_DB2_5_5_8,5.0,0.0165634,4.0,0.0175107,1.20212048980431
_home_Analise_digitais_2004_DB1_1_1_3,_home_Analise_digitais_2004_DB2_3_3_8,9.0,0.0156472,5.0,0.0186149,3.34828354630335
_home_Analise_digitais_2004_DB1_1_1_3,_home_Analise_digitais_2004_DB4_5_5_2,9.0,0.0147524,10.0,0.0154308,2.62161931206049
_home_Analise_digitais_2004_DB1_1_1_3,_home_Analise_digitais_2004_DB3_5_5_7,6.0,0.0154939,4.0,0.0152508,13.62831762831763
